,restaurant_name,about,address,price_range,specialty,special_diets,meals,review_1,reviewer_1,review_2,reviewer_2,review_3,reviewer_3,review_4,reviewer_4,review_5,reviewer_5,review_6,reviewer_6,review_7,reviewer_7,review_8,reviewer_8,review_9,reviewer_9,review_10,reviewer_10,review_11,reviewer_11,review_12,reviewer_12,review_13,reviewer_13,review_14,reviewer_14,review_15,reviewer_15,review_16,reviewer_16,review_17,reviewer_17,review_18,reviewer_18,review_19,reviewer_19,review_20,reviewer_20
10,"Sky High Bar, Pasig",No Data,"United Street Corner Brixton Street Penthouse, 21st Floor Ace Hotel And Suites United Corner Brixton Street, Pasig, Luzon 1603 Philippines",No Data,No Data,No Data,No Data,should consume atleast Php 2000  to get a nice table/view, annainorge15 reviews,Myisha's Birthday! ♥️, myishameri1 review,Birthday and Anniversary celebration, 595elvisa1 review,Anne's birthday!, Rapski271 review,Hashtag Malasakit, 468trixiea1 review,💖, 172angelop1 review,Family gathering, 38agnest1 review,Me and My Friends’ Haven, 80camilleo1 review,Cool view in the middle of Kapitolyo, Relax70927127 reviews,Family dinner, 529eunicel1 review,Birthday Celebration, chellemid20201 review,Anniversary celebration, A8226WYagnesb1 review,"Great food, nice customer service", jeanettem0744 reviews,Chill lng sa sky high bar, 451jayart1 review,3rd anniversary bonding, jardineb20201 review,Night out with Family, Chingb0011 review,"Average Bar, Very Loud", JeffBrown034 reviews,Birthday party of my friend, wesronron2 reviews,Worth it!, nojudgement12341 review,unwine, jennyferdancer1 review
11,"Party Party Family KTV, Pasig",No Data,"United Street 6th Floor Ace Hotel And Suites, Pasig, Luzon 1603 Philippines",No Data,"Bar, Philippine, Pub",No Data,"Dinner, After-hours, Drinks",Prulife UK- Eslia Branch #1 Celebration, G1948PYpatriciad1 review,Wedding Proposal, Marlo19831 review,High School Reunion, 496rosellab1 review,Bridal Shower and Bday Surprise, joanamariel20201 review,Great place, jilldC5138WP1 review,Office Night Out, myleneavendano1 review,Christmas Party, GrandTour6807311 review,Christmas Party, Eldrin C1 review,We had a BLAST!, MaybeMaybel1 review,Rekta Tri Team Year End Party, ysasiob1 review,Bridal Shower, S8761NSleor1 review,Bridal Shower, PA55wordAzir9 reviews,Chillin’, Cris D1 review,Regus year end party, Len N1 review,get together, Elison B1 review,"Party Party, our favourite Karaoke", joannesairo2 reviews,Jens birthday, Royce T1 review,Birthday Celebration, Jennifer R1 review,Birthday, Dhanlee Z1 review,Birthday birthday lng!, razel c1 review
12,"Cafe Inggo 1587, Quezon City",No Data,"Biak Na Bato Corner Quezon Boulevard Ave., Quezon City, Luzon 1114 Philippines",No Data,"Philippine, Cafe, Spanish, Healthy",No Data,"Breakfast, Lunch, Dinner, Brunch",Still as Excellent Ever, anabelleochoa85 reviews,"Average, if not mediocre.", jtB1561GC17 reviews,Love and peace full, ronaldnga1 review,A nice refectory of Sto. Domingo, wilsonnucumop1 review,A visit at Cafe Inggo, hamilescara2 reviews,Cafe Inggo 1587 = WOW!!! Kaya pala #1 sa TA., saintsinnah1 review,The best in QC!, edwardusa20201 review,Q.Ave's Cozy Cafe, Navigate1736201 review,Last-minute Breather, janrichmondt5 reviews,Simply the Best, Markkemac4 reviews,Excellent Foods and Amazing Place, nerieg20201 review,Good food with strict safety policy in place for everyone., CampAran24 reviews,Prayer and Food, I509WPsandya1 review,Bonding time with friends, peggysV406CJ2 reviews,We always make it a point to dine here whenever we are in the vicinity., feng19772 reviews,History with a dash of fine dining ! , amarrafelice1 review,Excellent Fine Dining, michellejayl1 review,Enduring Charm, Teachergab2 reviews,Worth the trip, Tripnisap3 reviews,Superb Dining Experience , armandoagusto4 reviews
13,"Madison Lounge & Bar, Pasay",No Data,"1 Newport Boulevard Newport City Ground Floor, Hilton Manila, Pasay, Luzon 1309 Philippines","PHP 1,000 - PHP 1,200","Bar, Cafe, Contemporary","Vegetarian Friendly, Vegan Options",No Data,Good food but service was too long, 625rachelo3 reviews,Great Experience, Ambassador3393411 review,Great Dining Experience, Joselyn R3 reviews,Dinner at Madison Hilton Hotel Manila, 625rachelo3 reviews,My experience at Hilton's Madison lounge of resorts world manila, frederickc7721 review,Pleasant treat for Friends get together, Arthur M6 reviews,Good job, loveandf1 review,Vegetarian Pasta, leaharmi2 reviews,Dining, 480cela1 review,Chocoberry Buffet 🥰🍓, 854biancav1 review,Madison Lounge at Hilton Manila, michaelsA4833EH1 review,Family Weekend Unwind, 28lizay1 review,Dessert visit, allena8051 review,Superb Chill Night, noyenz1 review,"Awesome, nice food and nice", bon_kantapong1 review,Son, RocketBoss1 review,Afternoon tea buffet, Mcenriquez1 review,Post Valentine celebration, 983gee1 review,Perfect place to chill and chitchat, tessabanana1 review,The Perfect Place to Meet & Unwind, tinabarbin17 reviews
14,"The Grand Kitchen, Taguig City",No Data,"8th Avenue corner 35th Street Bonifacio Global City, Taguig City, Luzon 1634 Philippines",No Data,No Data,No Data,No Data,Pool House Dining Experience, milleng20191 review,Superb Service!, numr0522211 review,Great place to hang with your friends and fam 💖, DanicaSoler13_1 review,Excellent food and customer service, mickeyongsioco2 reviews,Bday, Suuusie20211 review,The Grand Kitchen, RiellaJace231 review,The Grand Kitchen ... a good breakfast experience!, JeffM195226 reviews,Birthday dinner, marilouv20162 reviews,Madam Sherry’s Birthday Bash!, Yesashafierce1 review,Ate she's birthday, Dinkydoodle881 review,"Portion size was great, loved", Wandering S39 reviews,Dinner, Kish481 review,Ms, teresarS2793NV1 review,Best Service, jju1683 reviews,The Grand Kitchen, cha06042 reviews,Grand Kitchen 2021, 335antons1 review,Francis and April's Wedding, zobelmanuel1 review,Mr. Mikee and Kate were very, xtnsalcedo1 review,Happy Valentine’s buffet, stummyhurts1 review,Superb!, Vkgz1 review
15,"Cosmic, Makati",No Data,"5057 P. Burgos Cor. General Luna Brgy. Poblacion 2/f, Makati, Luzon 1210 Philippines",PHP 80 - PHP 350,"Philippine, Asian, Fusion","Vegetarian Friendly, Vegan Options, Gluten Free Options",No Data,The BEST Vegan Resto in Town!, peachygf1 review,HOLY MUSHROOM! THIS RESTO IS LEGIT, megumieA1 review,Amazing Food! Great Service and Ambiance, gailmacapagal4 reviews,Can't even tell it's vegan!, JustlikeDora80 reviews,Great food at reasonable price! Must-try!, Oskie K1 review,Great Tucker, Foodissex25 reviews,Thoroughly enjoyed, Meatandmoremeatplz6 reviews,MUST TRY THIS PLACE!!!, agrifinobailey1 review,Best vegan restaurant in the Philippines, dr_peace206 reviews,"Can’t write about food, as", freddydotiwala1 review,It’s definitely a place with, 828tomaszk55 reviews,Cosmic: We’re Ecstatic We Made Time, ourconstantjourney23 reviews,Did not disappoint. Worth a visit! , kaw2775 reviews,Disappointed , T1016IPnicks44 reviews,Vegan Victory, 1111troyb99 reviews,Great Lunch, krishan20201 review,The best for vegan parties!, DenduA377 reviews,The best vegan/vegetarian, santivwhite10 reviews,A vege exprience! 💯, Jaime C1 review,Delicious Veganized-Filipino food, catherinelB342RF1 review
16,"Ministry of Crab, Manila, Taguig City",No Data,"30th Street corner 5th Avenue, Shangri-La The Fort, Bonifacio Global City, Taguig City, Luzon 1634 Philippines",PHP 3 - PHP 4,"Seafood, Asian",No Data,No Data,Must try if you Love Crabs, Nestor C67 reviews,Holy Crab 🦀 , rodney618716 reviews,Best Crab, L1644LQmichelleg1 review,Crabzilla-night to remember!, marymike11301 review,Truly a Happy Anniversary for us, 467sherryg1 review,Very nice place , U1192OVhassana35 reviews,Best Crabs!, rafaelveracruz1 review,Amazing!, ZacharyT1961 review,Hands-on with the Ministry. 🤟🏽, 219Swirly1 review,Memorable Dining Experience!, Mr_noni95 reviews,Romantic dinner, GuadaHeights1 review,Good food. Must try!, chukieg1 review,Must try, X5052ERdianef1 review,Best crab in town. Excellent service, Isa G3 reviews,WORTH IT <3, MagicConch48742 reviews,Highly recommended!, arielcsantos2 reviews,(crab)-heaven is a place on earth!, cathsywhatsy6 reviews,Highly recommended!! 👏🏻😋🦀🦐🦞😻, danielasong5 reviews,Unforgettable experience!, aryannepadilha22 reviews,AMAZING!!, worldtravler111115 reviews
17,"Kusina Sea Kitchens, Pasay",No Data,"1 Newport Boulevard Third Floor, Hilton Manila, Pasay, Luzon 1300 Philippines","PHP 1,850 - PHP 2,200","Philippine, Healthy","Vegetarian Friendly, Vegan Options, Gluten Free Options",No Data,Dinner with my bestfriend, cheriedianec1 review,Dinner with my bestfriend, miatabaranza1 review,Kusina hilton, Mckiegrace1 review,Kusina-Hilton, Malou A2 reviews,Dinner with husband, daydayc20211 review,Fresh Seafoods and friendly staff, S3789Roland121 review,Splendid ambiance. Friendly staff. Amazing food., Loveczach3 reviews,Anniversary dinner, Junji-mickey1 review,"Nice ambiance, food, and service staff", Compass154861 review,Lunch at Hilton Hotel, eiabadoodles1 review,Bryan’s 27th Birthday!, jaymarkf241 review,Terribe Experience, karen4u21 review,Not what you are expecting in a hotel buffet., JAVENDANO57 reviews,BREAKFAST AT KUSINA, maridits1 review,Dinner buffet @ Hilton Hotel, Jet3286471 review,NOT WORTH IT DURING THE PANDEMIC, Seal1234562 reviews,Very good service and good, angeliflorangeles1 review,Gastronomic Experience at Kusina, bernieram1 review,Buffet at Kusina Sea Kitchen is legit and worth it!!, Veelaz1 review,Bonding with my cousin..., ErlindaV161 review
18,"S Kitchen, Pasay",No Data,"80 Andrews Avenue Sheraton Manila Hotel, Pasay, Luzon 1309 Philippines","PHP 500 - PHP 2,650","Philippine, International, Asian",No Data,No Data,Splendid ambiance. Friendly staff. Amazing food., Loveczach3 reviews,One of the best restaurant at Far East, CihanG606 reviews,Breakfast before the wedding, ianney20201 review,Lunch Buffet, 822verw1 review,Wonderful Experience, LoveTravel7613812 reviews,Enjoyed my birthday dinner, 205juditha2 reviews,Good service, krnnlmp1 review,Baby bday celebration, jeckborj1 review,Kudos to Jam and Rustan of Sheraton Manila Hotel! ⭐⭐⭐⭐⭐, B15451 review,Valentines Date, neomiiaing1 review,Valentines Day 2021, aiziell1 review,Amazing ❤️, davidivanelucas1 review,"Nice food , Very good service", ronalyn081 review,A pleasant experience , B246OUandreag3 reviews,Good Restaurant , brennanraj3 reviews,Pandemic safe buffet, aldwind21 reviews,S Kitchen Breakfast, bossnabastos1 review,Good service and food, loveydudz1 review,Dine in with friends, Storyteller5579811 review,S Kitchen Experience, booyaku1 review
19,"High Street Cafe, Taguig City",Nine culinary neighborhoods; one High Street.,"30th Street Corner 5th Avenue 2nd Floor, Shangri-La The Fort, Manila, Bonifacio Global City, Taguig City, Luzon 1634 Philippines",No Data,No Data,No Data,No Data,Passable, tylersY4577AX196 reviews,Excellent, hmry191 review,Family Dinner, joaneychu1 review,Nothing spectacular, flipflop525191 reviews,Amazing service!, marahglam3 reviews,Treated like Family, Scott D2 reviews,Buffet lunch, Mariiieee341 review,Team Celebration, S5878GElorenzof1 review,My little brother's birthday celebration, thirdyr19911 review,Quick Dinner, jonalyng5391 review,Good place for family events, r0meliechelseae2 reviews,Amazing Food Choices, JD03902 reviews,Birthday celebration, Tastebuddy766 reviews,PERFECT CHOICE FOR DINNER!!!🤗, Andrea823411 review,High street cafe breakfast, daniellehokay1 review,Lunch @ The Fort, Nancy_26fruelda1 review,"Disappointed, hungry and agitated guests dining with our kids.", myangelinsky4 reviews,What a Beautiful day !, Global3517301 review,"Excellent food, service and", MT5011 review,Lunch buffet, HiddenUniMoo171 review
20,"Xin Tian Di, Quezon City",No Data,"Fourth Floor Crowne Plaza Galleria. Ortigas Avenue, Quezon City, Luzon Philippines","PHP 1,670 - PHP 1,909","Chinese, Asian","Vegetarian Friendly, Vegan Options, Gluten Free Options",No Data,"Love the food, adore the staff!", akaibeng1 review,Best Chinese Restaurant this side of Town, bienrivera8 reviews,Awesome ROJS service, minnieh2l1 review,Last Night's Dinner was superb!, razhels2 reviews,PRULIFERS , C7818CGcrism1 review,Good service, jocelynjhoicyg1 review,A pleasant dining experience, Am1x1s1 review,BEST CHINESE RESTAURANT EVER, 724ednaf1 review,Best  Chineese Restaurant, nhetoya1 review,A very pleasant dining experience. , jeannys20201 review,"Beautiful restaurant, and beautiful delicious food.", bklynbubba227 reviews,Excellent Chinese food and friendly staff, Kaka C8 reviews,New Year and awesome food!, ameliabless2 reviews,New year get together/birthday., gerod20201 review,Amazing dimsum buffet experience!, avpf2 reviews,One of the best dimsum buffet I have tried, lcdeyto1 review,Definitely worth it!, aixcela2 reviews,Mr, RalphongMd1232 reviews,Unli Dimsum, RoselynS2712 reviews,Extraordinary dimsum buffet dinner, choosyhotelguest2 reviews
21,"Samba, Taguig City",No Data,"30th 5th Avenue Bonifacio Global City, Taguig City, Luzon 1630 Philippines",No Data,No Data,No Data,No Data,Poor service, JESSICA L7 reviews,Birthday Goodies, ChrisTopz30 reviews,Best Peruvian in town, travelsbymouth2 reviews,Our first time to try Peruvian, DianeChrisG2 reviews,Such a fine dining experience!!! , sharonp9723 reviews,Great place and ambiance, rmmercado061 review,Once in a lifetime experience, eugeniabrashovsky5 reviews,Excellent food (the Oysters, MJB592086 reviews,Tasty Peruvian seafood! Atmosphere and drinks however less special, nikolaikb39 reviews,Delicious Peruvian food with excellent health and safety protocols, hernameiswendy105 reviews,Clean & Sanitized Restaurant and Wonderful Food, kattnja1 review,A bounty of seafood!, Emiliana S18 reviews,Great food and Filipino hospitality at its finest, Kimshooo5 reviews,Good place for business meetings, mmoperario182 reviews,Dining as an experience, lpk325161 reviews,Satisfying dining experience!, yamio88881 review,1st Timer's Review, joshuaecruz1 review,Birthday celebration, 73chinedun1 review,Samba Will Make a Regular Out of You, andrews-fenu1 review,Great Bar and restaurant to hang out, inhale-exhale32174 reviews
22,"Sky Garden Steak House, Pasig",No Data,"8th Floor Ace Hotel & Suites United Street corner Brixton Street, Kapitolyo, Pasig, Luzon 1603 Philippines",No Data,"American, Steakhouse, Southwestern, Bar, International, Pub","Reservations, Outdoor Seating, Seating, Serves Alcohol, Table Service, Takeout, Private Dining, Highchairs Available, Wheelchair Accessible, Wine and Beer, Free Wifi, Accepts Credit Cards","Dinner, After-hours, Drinks",Good ambiance, heisnberg1 review,Stakehouse, cavitebirthinghomec1 review,Ace Sky Garden Steakhouse Review, christinejoyp351 review,Leap day date with hubby, 384jensene1 review,Sky Garden for a sky high experience, Capt_Rogers2 reviews,Romatic Proposal, mayveeleneo1 review,Proposal of Kier and Mavs.., Trisden1 review,Celebrating our Second, maeceeb19941 review,Delicious and exquisite, 964neo1 review,Steakterrific, mariedcbee1 review,Dinner date with my fiancee, M2163KOanthonym1 review,Excellent experience, eljayb20201 review,Dinner at Sky Garden Steakhouse (Ace Hotel), DarkEros6661 review,Lovely place, reginem7461 review,#AWESOME, stephenieb20201 review,A sumptuous Dinner, DondeeC121 review,We enjoyed the four course, 158barts24 reviews,Birthday and Anniversary Dinner, A2629PXjeromeg1 review,Birthday /anniversary dinner, agonzaga6 reviews,Excellent service, ysaij20191 review
